ticker,volume,vwap,open,close,high,low,timestamp,trade_count,price_change,volatility,volume_surge,rsi,macd_line,macd_signal,macd_diff,adx,atr,buy_signal,mfi,ticker_encoded
FATE,912905.0,0.9079,0.91,0.9056,0.939899,0.883,1970-01-01 00:29:02.414400,3292.0,-0.004835164835164912,0.06443827859569652,2.1353603824868195,46.35777427609044,-6.199994579837757,-2.036354217649343,-4.1636403621884135,4.043158596957,54.88248394711203,1,0,0
CNTM,3302494.0,0.7213,0.5941,0.6045,0.64265,0.5941,1970-01-01 00:29:02.414400,7400.0,0.017505470459518727,0.08172024911631055,2.040387702170198,46.64584618342292,-4.394312564702862,-0.9150860430972343,-3.4792265216056273,4.713143148419692,40.51541509326597,0,0,0
CYCU,3333048.0,0.6147,0.5898,0.6146,0.64,0.57,1970-01-01 00:29:02.414400,6352.0,0.04204815191590377,0.12280701754385977,3.055917254324019,47.25229342924859,0.5744981156924709,4.637762995177332,-4.063264879484861,5.588185211771575,62.939542889143766,0,0,0
NAK,1778844.0,0.7032,0.7098,0.7054,0.718,0.6921,1970-01-01 00:29:02.414400,3376.0,-0.006198929275852296,0.037422337812454735,2.5450232491594535,47.308151182293145,-6.403470938777847,-2.8891587865519646,-3.5143121522258824,4.011295708180585,43.86152785615726,1,0,0
AWH,1506972.0,0.1145,0.116,0.118,0.1203,0.1075,1970-01-01 00:29:02.414400,1624.0,0.017241379310344723,0.11906976744186053,4.653747927082722,47.297350553344515,-21.286231010181908,-21.0062129829592,-0.28001802722270597,3.116206951875086,75.58062851667242,0,0,0
LITM,10920493.0,0.4984,0.5101,0.4928,0.533,0.4717,1970-01-01 00:29:02.414400,13430.0,-0.03391491864340322,0.12995548017807934,2.7694865157455952,47.16155689113901,-7.692871975346058,-1.259430016162274,-6.433441959183784,5.141252891081504,65.02466130140228,1,0,0
GLYC,197533.0,0.278,0.275,0.277,0.285,0.26605,1970-01-01 00:29:02.414400,373.0,0.007272727272727279,0.07122721292990027,1.8198392912748909,46.69327120668344,-7.257789217591984,-7.361349436323165,0.1035602187311806,3.319041751525274,40.83776517329721,1,0,0
RVSN,466240.0,0.4777,0.471,0.48,0.49,0.47,1970-01-01 00:29:02.414400,1135.0,0.019108280254777087,0.04255319148936174,1.218499957139243,46.970839202781434,1.0530334234398282,2.253985644545095,-1.200952221105267,5.516392427235987,75.32536858609599,0,0,0
PEV,3567110.0,0.7446,0.8,0.6756,0.8477,0.63,1970-01-01 00:29:02.414400,5547.0,-0.15550000000000008,0.34555555555555556,3.4200912226310054,47.270888843455474,-0.7832326487960302,4.644410110417401,-5.427642759213431,5.717386485907915,87.60118888451395,1,0,0
EFSH,447344.0,0.136,0.1301,0.1383,0.1401,0.128801,1970-01-01 00:29:02.414400,652.0,0.06302843966179872,0.08772447418886502,1.9842799098667518,47.44210112974593,-3.797013531817285,-4.617647596712791,0.8206340648955059,4.639459648297193,48.07789453166566,1,0,0
